POSTCODE,LAT,LNG
0200,-35.2777,149.11895
0800,-12.45868,130.83668
0801,-12.45868,130.83668
0803,-12.43399,130.74591
0804,-12.42802,130.87331
0810,-12.3798,130.86849
0811,-12.38181,130.86624
0812,-12.39642,130.91519
0813,-12.40478,130.9161
0814,-12.38181,130.86624
0815,-12.3718,130.869
0820,-12.42711,130.87334
0821,-13.64328,136.94705
0822,-11.76997,130.62946
0828,-12.43202,130.93207
0829,-12.45763,130.95977
0830,-12.47928,130.97335
0831,-12.47507,130.97488
0832,-12.50343,130.97746
0834,-12.54686,131.02349
0835,-12.47608,131.02299
0836,-12.55604,131.10804
0837,-12.67332,131.05535
0838,-12.71878,131.00673
0839,-12.52001,131.0402
0840,-12.73458,130.43857
0841,-12.81923,130.96986
0845,-13.04512,131.03848
0846,-13.2103,131.095
0847,-14.01212,131.75915
0850,-14.40915,132.28591
0851,-15.71142,137.05072
0852,-16.4311,130.89873
0853,-14.54463,132.39812
0854,-16.28728,136.36665
0860,-19.6413,134.1736
0861,-18.56305,134.48183
0862,-18.17968,134.86259
0870,-23.70222,133.86486
0871,-21.94951,131.29881
0872,-23.05255,131.06949
0873,-23.74471,133.90501
0874,-23.68502,133.89988
0875,-23.69689,133.8333
0880,-12.06062,136.60613
0881,-11.67037,136.82486
0885,-13.85079,136.42007
0886,-13.13118,132.56337
0906,-13.64328,136.94705
0907,-13.64328,136.94705
0909,-12.3718,130.869
1001,-33.79488,151.26807
1002,-33.79488,151.26807
1003,-33.79488,151.26807
1004,-33.79488,151.26807
1005,-33.79488,151.26807
1006,-33.79488,151.26807
1007,-33.79488,151.26807
1008,-33.79488,151.26807
1009,-33.79488,151.26807
1010,-33.79488,151.26807
1020,-33.79488,151.26807
1021,-33.79488,151.26807
1022,-33.79488,151.26807
1023,-33.79488,151.26807
1025,-33.79488,151.26807
1026,-33.79488,151.26807
1027,-33.79488,151.26807
1028,-33.79488,151.26807
1029,-33.79488,151.26807
1030,-33.79488,151.26807
1031,-33.79488,151.26807
1032,-33.66283,150.87418
1033,-33.79488,151.26807
1034,-33.79488,151.26807
1035,-33.79488,151.26807
1036,-33.79488,151.26807
1037,-33.79488,151.26807
1038,-33.79488,151.26807
1039,-33.79488,151.26807
1040,-33.79488,151.26807
1041,-33.79488,151.26807
1042,-33.79488,151.26807
1043,-33.79488,151.26807
1044,-33.79488,151.26807
1045,-33.79488,151.26807
1046,-33.79488,151.26807
1100,-33.79488,151.26807
1101,-33.79488,151.26807
1105,-33.79488,151.26807
1106,-33.79488,151.26807
1107,-33.79488,151.26807
1108,-33.79488,151.26807
1109,-33.79488,151.26807
1110,-33.79488,151.26807
1112,-33.79488,151.26807
1113,-33.79488,151.26807
1114,-33.79488,151.26807
1115,-33.79488,151.26807
1116,-33.66673,150.86614
1117,-33.66457,150.87022
1118,-33.79488,151.26807
1119,-33.79488,151.26807
1120,-33.79488,151.26807
1121,-33.79488,151.26807
1122,-33.79488,151.26807
1123,-33.79488,151.26807
1124,-33.79488,151.26807
1125,-33.79488,151.26807
1126,-33.79488,151.26807
1127,-33.79488,151.26807
1128,-33.79488,151.26807
1129,-33.79488,151.26807
1130,-33.79488,151.26807
1131,-33.79488,151.26807
1132,-33.66279,150.87427
1133,-33.79488,151.26807
1134,-33.79488,151.26807
1135,-33.79488,151.26807
1136,-33.79488,151.26807
1137,-33.79488,151.26807
1138,-33.79488,151.26807
1139,-33.79488,151.26807
1140,-33.79488,151.26807
1141,-33.79488,151.26807
1142,-33.79488,151.26807
1143,-33.79488,151.26807
1144,-33.79488,151.26807
1145,-33.79488,151.26807
1146,-33.79488,151.26807
1147,-33.79488,151.26807
1148,-33.79488,151.26807
1149,-33.79488,151.26807
1150,-33.79488,151.26807
1151,-33.79488,151.26807
1152,-33.79488,151.26807
1153,-33.79488,151.26807
1154,-33.79488,151.26807
1155,-33.79488,151.26807
1156,-33.79488,151.26807
1157,-33.79488,151.26807
1158,-33.79488,151.26807
1159,-33.79488,151.26807
1160,-33.79488,151.26807
1161,-33.79488,151.26807
1162,-33.79488,151.26807
1163,-33.79488,151.26807
1164,-33.79488,151.26807
1165,-33.79488,151.26807
1166,-33.79488,151.26807
1167,-33.79488,151.26807
1168,-33.79488,151.26807
1169,-33.79488,151.26807
1170,-33.79488,151.26807
1171,-33.79488,151.26807
1172,-33.79488,151.26807
1173,-33.79488,151.26807
1174,-33.79488,151.26807
1175,-33.79488,151.26807
1176,-33.79488,151.26807
1177,-33.79488,151.26807
1178,-33.79488,151.26807
1179,-33.79488,151.26807
1180,-33.79488,151.26807
1181,-33.79488,151.26807
1182,-33.79488,151.26807
1183,-33.79488,151.26807
1184,-33.79488,151.26807
1185,-33.79488,151.26807
1186,-33.79488,151.26807
1187,-33.79488,151.26807
1188,-33.79488,151.26807
1189,-33.79488,151.26807
1190,-33.79488,151.26807
1191,-33.79488,151.26807
1192,-34.79068,147.68528
1193,-33.79488,151.26807
1194,-33.79488,151.26807
1195,-33.79488,151.26807
1196,-33.79488,151.26807
1197,-33.79488,151.26807
1198,-33.79488,151.26807
1199,-33.79488,151.26807
1201,-33.79488,151.26807
1202,-33.79488,151.26807
1203,-33.79488,151.26807
1205,-33.79488,151.26807
1207,-33.79488,151.26807
1208,-29.81648,151.65945
1209,-33.89179,151.17625
1210,-33.89179,151.17625
1211,-33.89179,151.17625
1212,-33.89179,151.17625
1213,-33.89179,151.17625
1214,-33.89179,151.17625
1215,-33.89179,151.17625
1216,-33.74131,151.03403
1217,-33.74131,151.03403
1218,-33.74131,151.03403
1219,-33.74131,151.03403
1220,-33.74131,151.03403
1221,-33.86533,151.20791
1222,-33.86533,151.20791
1223,-33.86533,151.20791
1224,-33.86533,151.20791
1225,-33.86533,151.20791
1226,-33.87175,151.20671
1227,-33.87175,151.20671
1228,-33.87175,151.20671
1229,-33.87175,151.20671
1230,-33.87175,151.20671
1231,-33.81555,151.04253
1232,-33.81555,151.04253
1233,-33.81555,151.04253
1234,-33.81555,151.04253
1235,-33.81555,151.04253
1236,-29.81648,151.65945
1237,-29.81648,151.65945
1238,-29.81648,151.65945
1239,-29.81648,151.65945
1240,-29.81648,151.65945
1291,-33.79488,151.26807
1292,-33.79488,151.26807
1293,-33.79488,151.26807
1294,-33.79488,151.26807
1295,-33.79488,151.26807
1296,-33.79488,151.26807
1297,-33.79488,151.26807
1298,-33.79488,151.26807
1299,-33.79488,151.26807
1300,-33.87733,151.22088
1314,-33.9508,151.21
1335,-33.82269,151.11757
1340,-35.53772,148.02101
1350,-33.88871,151.24051
1355,-33.89374,151.2625
1360,-33.87584,151.24194
1401,-33.88422,151.19983
1405,-33.89194,151.04771
